date,sku,on_hand_units,on_order_units,lead_time_days,reorder_point_units,inventory_value
2021-01-03,SKU0059,2,6,16,10,4416.56
2021-01-03,SKU0060,8,0,13,10,18632.64
2021-01-03,SKU0061,0,14,25,10,0.0
2021-01-03,SKU0062,0,10,22,10,0.0
2021-01-03,SKU0063,0,4,8,10,0.0
2021-01-03,SKU0064,0,2,23,10,0.0
2021-01-03,SKU0065,0,1,24,10,0.0
2021-01-03,SKU0066,11,4,15,10,12932.37
2021-01-03,SKU0067,4,1,29,10,10025.56
2021-01-03,SKU0068,0,4,21,10,0.0
2021-01-03,SKU0069,2,3,13,10,2039.4
2021-01-03,SKU0070,0,0,5,10,0.0
2021-01-03,SKU0071,0,0,22,10,0.0
2021-01-03,SKU0072,3,1,10,10,4781.01
2021-01-03,SKU0073,8,1,24,10,6738.4
2021-01-03,SKU0074,12,6,18,10,33774.36
2021-01-03,SKU0075,14,0,17,10,8083.04
2021-01-03,SKU0076,0,0,9,10,0.0
2021-01-03,SKU0077,0,4,23,10,0.0
2021-01-03,SKU0078,1,1,9,10,2977.89
2021-01-03,SKU0079,1,3,15,10,2685.86
2021-01-03,SKU0080,0,2,26,10,0.0
2021-01-03,SKU0081,0,0,28,10,0.0
2021-01-03,SKU0082,7,3,30,10,18837.0
2021-01-03,SKU0083,13,0,29,10,20860.97
2021-01-03,SKU0084,0,5,19,10,0.0
2021-01-03,SKU0085,0,8,10,10,0.0
2021-01-03,SKU0086,0,0,26,10,0.0
2021-01-03,SKU0087,0,0,25,10,0.0
2021-01-03,SKU0088,0,2,30,10,0.0
2021-01-03,SKU0089,3,0,21,10,6797.07
2021-01-03,SKU0090,0,3,8,10,0.0
2021-01-03,SKU0091,10,0,18,10,28167.6
2021-01-03,SKU0092,1,0,16,10,798.81
2021-01-03,SKU0093,4,0,26,10,1824.0
2021-01-03,SKU0094,0,0,15,10,0.0
2021-01-03,SKU0095,11,0,13,10,5989.72
2021-01-03,SKU0096,0,0,7,10,0.0
2021-01-03,SKU0097,0,4,26,10,0.0
2021-01-03,SKU0098,0,1,24,10,0.0
2021-01-03,SKU0099,7,0,6,10,4687.62
2021-01-03,SKU0100,7,0,16,10,6999.58
2021-01-03,SKU0101,0,10,17,10,0.0
2021-01-03,SKU0102,13,0,17,10,37937.9
2021-01-03,SKU0103,0,4,28,10,0.0
2021-01-03,SKU0104,0,0,8,10,0.0
2021-01-03,SKU0105,0,0,12,10,0.0
2021-01-03,SKU0106,3,6,9,10,2298.0
2021-01-03,SKU0107,0,6,11,10,0.0
2021-01-03,SKU0108,18,1,28,10,37173.78
2021-01-03,SKU0109,7,0,29,10,3173.17
2021-01-03,SKU0110,14,0,6,10,21957.04
2021-01-03,SKU0111,11,0,21,10,23246.96
2021-01-03,SKU0112,0,0,11,10,0.0
2021-01-03,SKU0113,0,0,10,10,0.0
2021-01-03,SKU0114,0,7,12,10,0.0
2021-01-03,SKU0115,0,0,10,10,0.0
2021-01-03,SKU0116,9,0,17,10,20187.45
2021-01-03,SKU0117,0,0,30,10,0.0
2021-01-03,SKU0118,0,0,20,10,0.0
2021-01-03,SKU0119,3,0,23,10,8369.79
2021-01-03,SKU0120,6,0,17,10,7517.88
2021-01-03,SKU0121,0,3,5,10,0.0
2021-01-03,SKU0122,0,0,7,10,0.0
2021-01-03,SKU0123,6,0,11,10,12133.86
2021-01-03,SKU0124,2,0,11,10,5742.62
2021-01-03,SKU0125,0,0,26,10,0.0
2021-01-03,SKU0126,3,3,26,10,8345.82
2021-01-03,SKU0127,1,0,27,10,172.09
2021-01-03,SKU0128,2,0,21,10,3420.14
2021-01-03,SKU0129,16,0,19,10,31016.48
2021-01-03,SKU0130,0,0,21,10,0.0
2021-01-03,SKU0131,0,0,15,10,0.0
2021-01-03,SKU0132,11,0,22,10,14469.73
2021-01-03,SKU0133,0,0,25,10,0.0
2021-01-03,SKU0134,14,0,24,10,25599.28
2021-01-03,SKU0135,0,3,20,10,0.0
2021-01-03,SKU0136,1,0,6,10,2432.65
2021-01-03,SKU0137,6,2,23,10,8732.46
2021-01-03,SKU0138,10,0,14,10,23758.1
2021-01-03,SKU0139,8,5,24,10,1213.84
2021-01-03,SKU0140,0,6,19,10,0.0
2021-01-03,SKU0141,0,1,27,10,0.0
2021-01-03,SKU0142,3,1,13,10,7232.31
2021-01-03,SKU0143,1,0,29,10,774.66
2021-01-03,SKU0144,0,0,26,10,0.0
2021-01-03,SKU0145,3,2,13,10,5572.35
2021-01-03,SKU0146,8,2,17,10,20931.52
2021-01-03,SKU0147,1,10,18,10,1849.01
2021-01-03,SKU0148,13,2,24,10,16853.98
2021-01-03,SKU0149,3,4,22,10,3555.39
2021-01-03,SKU0150,0,8,27,10,0.0
2021-01-03,SKU0151,1,11,14,10,1990.6
2021-01-03,SKU0152,0,3,18,10,0.0
2021-01-03,SKU0153,0,2,16,10,0.0
2021-01-03,SKU0154,4,3,28,10,3274.92
2021-01-03,SKU0155,0,5,12,10,0.0
2021-01-03,SKU0156,0,0,20,10,0.0
2021-01-03,SKU0157,0,0,8,10,0.0
2021-01-03,SKU0158,3,2,27,10,1215.93
2021-01-03,SKU0159,4,2,14,10,1172.08
2021-01-03,SKU0160,0,2,13,10,0.0
2021-01-03,SKU0161,0,1,20,10,0.0
2021-01-03,SKU0162,0,0,17,10,0.0
2021-01-03,SKU0163,0,0,27,10,0.0
2021-01-03,SKU0164,0,0,18,10,0.0
2021-01-03,SKU0165,8,0,18,10,22166.48
2021-01-03,SKU0166,6,0,7,10,3480.24
2021-01-03,SKU0167,2,0,5,10,1851.38
2021-01-03,SKU0168,4,0,15,10,2181.92
2021-01-03,SKU0169,0,3,30,10,0.0
2021-01-03,SKU0170,2,0,28,10,322.66
2021-01-03,SKU0171,5,0,21,10,1303.25
2021-01-03,SKU0172,0,0,21,10,0.0
2021-01-03,SKU0173,3,0,15,10,764.43
2021-01-03,SKU0174,0,0,9,10,0.0
2021-01-03,SKU0175,8,1,5,10,16592.56
2021-01-03,SKU0176,9,0,13,10,11173.77
2021-01-03,SKU0177,0,0,13,10,0.0
2021-01-03,SKU0178,12,3,9,10,18757.56
2021-01-03,SKU0179,0,0,11,10,0.0
2021-01-03,SKU0180,16,0,5,10,41092.48
2021-01-03,SKU0181,0,2,20,10,0.0
2021-01-03,SKU0182,1,8,29,10,626.35
2021-01-03,SKU0183,2,4,22,10,1573.12
2021-01-03,SKU0184,0,0,16,10,0.0
2021-01-03,SKU0185,0,3,15,10,0.0
2021-01-03,SKU0186,0,8,12,10,0.0
2021-01-03,SKU0187,9,0,8,10,2185.56
2021-01-03,SKU0188,0,2,20,10,0.0
2021-01-03,SKU0189,0,7,19,10,0.0
2021-01-03,SKU0190,12,0,5,10,4738.2
2021-01-03,SKU0191,4,15,15,10,10068.12
2021-01-03,SKU0192,6,4,12,10,1504.14
2021-01-03,SKU0193,7,2,9,10,19474.28
2021-01-03,SKU0194,0,0,23,10,0.0
2021-01-03,SKU0195,1,0,18,10,2546.37
2021-01-03,SKU0196,1,4,21,10,2717.69
2021-01-03,SKU0197,0,0,23,10,0.0
2021-01-03,SKU0198,0,8,30,10,0.0
2021-01-03,SKU0199,4,1,25,10,9441.92
2021-01-03,SKU0200,0,2,21,10,0.0
2021-01-10,SKU0001,0,0,26,10,0.0
2021-01-10,SKU0002,0,0,24,10,0.0
2021-01-10,SKU0003,0,0,19,10,0.0
2021-01-10,SKU0004,7,13,28,10,20374.27
2021-01-10,SKU0005,13,0,8,10,30658.94
2021-01-10,SKU0006,14,0,28,10,30505.72
2021-01-10,SKU0007,6,0,27,10,8418.9
2021-01-10,SKU0008,4,0,18,10,3558.0
2021-01-10,SKU0009,0,0,24,10,0.0
2021-01-10,SKU0010,9,4,18,10,24457.95
2021-01-10,SKU0011,21,0,11,10,29856.75
2021-01-10,SKU0012,4,0,25,10,2747.4
2021-01-10,SKU0013,2,0,11,10,1974.54
2021-01-10,SKU0014,6,0,13,10,10678.44
2021-01-10,SKU0015,6,9,18,10,3675.84
2021-01-10,SKU0016,1,3,26,10,2584.18
2021-01-10,SKU0017,0,0,14,10,0.0
2021-01-10,SKU0018,3,4,17,10,6559.32
2021-01-10,SKU0019,0,0,6,10,0.0
2021-01-10,SKU0020,0,4,8,10,0.0
2021-01-10,SKU0021,11,1,6,10,19732.68
2021-01-10,SKU0022,0,0,6,10,0.0
2021-01-10,SKU0023,6,6,27,10,2069.34
2021-01-10,SKU0024,12,0,26,10,15670.08
2021-01-10,SKU0025,10,4,26,10,2206.8
2021-01-10,SKU0026,0,0,6,10,0.0
2021-01-10,SKU0027,3,10,7,10,3169.8
2021-01-10,SKU0028,0,0,12,10,0.0
2021-01-10,SKU0029,0,0,19,10,0.0
2021-01-10,SKU0030,8,0,13,10,14433.36
2021-01-10,SKU0031,0,0,17,10,0.0
2021-01-10,SKU0032,0,3,9,10,0.0
2021-01-10,SKU0033,0,0,24,10,0.0
2021-01-10,SKU0034,0,0,13,10,0.0
2021-01-10,SKU0035,11,0,6,10,19950.15
2021-01-10,SKU0036,2,0,24,10,332.26
2021-01-10,SKU0037,1,4,28,10,2879.82
2021-01-10,SKU0038,0,0,5,10,0.0
2021-01-10,SKU0039,1,0,16,10,2369.93
2021-01-10,SKU0040,0,0,26,10,0.0
2021-01-10,SKU0041,3,1,23,10,4533.93
2021-01-10,SKU0042,9,1,27,10,13707.45
2021-01-10,SKU0043,0,4,15,10,0.0
2021-01-10,SKU0044,9,0,14,10,15822.09
2021-01-10,SKU0045,0,10,23,10,0.0
2021-01-10,SKU0046,1,10,8,10,874.23
2021-01-10,SKU0047,0,0,11,10,0.0
2021-01-10,SKU0048,1,0,20,10,1609.95
2021-01-10,SKU0049,12,2,22,10,16474.08
2021-01-10,SKU0050,7,4,8,10,1138.76
2021-01-10,SKU0051,0,4,18,10,0.0
2021-01-10,SKU0052,0,4,14,10,0.0
2021-01-10,SKU0053,7,1,18,10,3547.04
2021-01-10,SKU0054,6,0,29,10,10240.2
2021-01-10,SKU0055,1,0,6,10,414.87
2021-01-10,SKU0056,0,1,30,10,0.0
2021-01-10,SKU0057,13,0,16,10,11902.54
2021-01-10,SKU0058,0,0,25,10,0.0
2021-01-10,SKU0059,0,3,16,10,0.0
2021-01-10,SKU0060,0,0,13,10,0.0
2021-01-10,SKU0061,3,0,25,10,1237.35
2021-01-10,SKU0062,0,0,22,10,0.0
2021-01-10,SKU0063,17,0,8,10,13049.54
2021-01-10,SKU0064,0,0,23,10,0.0
2021-01-10,SKU0065,0,0,24,10,0.0
2021-01-10,SKU0066,5,1,15,10,5878.35
2021-01-10,SKU0067,0,6,29,10,0.0
2021-01-10,SKU0068,0,0,21,10,0.0
2021-01-10,SKU0069,4,0,13,10,4078.8
2021-01-10,SKU0070,0,0,5,10,0.0
2021-01-10,SKU0071,8,0,22,10,7549.28
2021-01-10,SKU0072,3,7,10,10,4781.01
2021-01-10,SKU0073,1,3,24,10,842.3
2021-01-10,SKU0074,1,0,18,10,2814.53
2021-01-10,SKU0075,0,5,17,10,0.0
2021-01-10,SKU0076,3,0,9,10,690.72
2021-01-10,SKU0077,0,0,23,10,0.0
2021-01-10,SKU0078,0,0,9,10,0.0
2021-01-10,SKU0079,1,0,15,10,2685.86
2021-01-10,SKU0080,0,0,26,10,0.0
2021-01-10,SKU0081,0,3,28,10,0.0
2021-01-10,SKU0082,6,2,30,10,16146.0
2021-01-10,SKU0083,0,4,29,10,0.0
2021-01-10,SKU0084,0,0,19,10,0.0
2021-01-10,SKU0085,0,2,10,10,0.0
2021-01-10,SKU0086,0,0,26,10,0.0
2021-01-10,SKU0087,0,2,25,10,0.0
2021-01-10,SKU0088,2,0,30,10,747.9
2021-01-10,SKU0089,0,6,21,10,0.0
2021-01-10,SKU0090,6,0,8,10,5166.84
2021-01-10,SKU0091,0,0,18,10,0.0
2021-01-10,SKU0092,8,1,16,10,6390.48
2021-01-10,SKU0093,3,0,26,10,1368.0
2021-01-10,SKU0094,1,9,15,10,2510.23
2021-01-10,SKU0095,0,1,13,10,0.0
2021-01-10,SKU0096,7,6,7,10,4339.16
2021-01-10,SKU0097,4,0,26,10,7352.84
2021-01-10,SKU0098,0,0,24,10,0.0
2021-01-10,SKU0099,5,3,6,10,3348.3
2021-01-10,SKU0100,0,0,16,10,0.0
2021-01-10,SKU0101,0,0,17,10,0.0
2021-01-10,SKU0102,0,2,17,10,0.0
2021-01-10,SKU0103,1,0,28,10,1552.15
2021-01-10,SKU0104,198,61,8,19,102425.4
2021-01-10,SKU0105,1,0,12,10,140.42
2021-01-10,SKU0106,10,0,9,10,7660.0
2021-01-10,SKU0107,0,0,11,10,0.0
2021-01-10,SKU0108,5,0,28,10,10326.05
2021-01-10,SKU0109,2,0,29,10,906.62
2021-01-10,SKU0110,11,0,6,10,17251.96
2021-01-10,SKU0111,1,0,21,10,2113.36
2021-01-10,SKU0112,3,0,11,10,5355.72
2021-01-10,SKU0113,14,0,10,10,9510.9
2021-01-10,SKU0114,6,0,12,10,14591.76
2021-01-10,SKU0115,5,6,10,10,10873.4
2021-01-10,SKU0116,0,4,17,10,0.0
2021-01-10,SKU0117,1,1,30,10,480.07
2021-01-10,SKU0118,0,1,20,10,0.0
2021-01-10,SKU0119,0,5,23,10,0.0
2021-01-10,SKU0120,5,15,17,10,6264.9
2021-01-10,SKU0121,0,9,5,10,0.0
2021-01-10,SKU0122,1,0,7,10,1516.89
2021-01-10,SKU0123,0,0,11,10,0.0
2021-01-10,SKU0124,3,7,11,10,8613.93
2021-01-10,SKU0125,0,0,26,10,0.0
2021-01-10,SKU0126,0,8,26,10,0.0
2021-01-10,SKU0127,9,2,27,10,1548.81
2021-01-10,SKU0128,1,0,21,10,1710.07
2021-01-10,SKU0129,3,9,19,10,5815.59
2021-01-10,SKU0130,13,0,21,10,5292.3
2021-01-10,SKU0131,1,0,15,10,506.98
2021-01-10,SKU0132,0,0,22,10,0.0
2021-01-10,SKU0133,0,0,25,10,0.0
2021-01-10,SKU0134,7,0,24,10,12799.64
2021-01-10,SKU0135,0,0,20,10,0.0
2021-01-10,SKU0136,0,0,6,10,0.0
2021-01-10,SKU0137,0,0,23,10,0.0
2021-01-10,SKU0138,12,0,14,10,28509.72
2021-01-10,SKU0139,10,4,24,10,1517.3
2021-01-10,SKU0140,0,5,19,10,0.0
2021-01-10,SKU0141,15,4,27,10,37580.1
2021-01-10,SKU0142,0,7,13,10,0.0
2021-01-10,SKU0143,16,0,29,10,12394.56
2021-01-10,SKU0144,0,0,26,10,0.0
2021-01-10,SKU0145,9,6,13,10,16717.05
2021-01-10,SKU0146,0,6,17,10,0.0
2021-01-10,SKU0147,0,0,18,10,0.0
2021-01-10,SKU0148,7,3,24,10,9075.22
2021-01-10,SKU0149,0,0,22,10,0.0
2021-01-10,SKU0150,3,0,27,10,4005.18
2021-01-10,SKU0151,2,1,14,10,3981.2
2021-01-10,SKU0152,10,3,18,10,26157.2
2021-01-10,SKU0153,11,0,16,10,15579.3
2021-01-10,SKU0154,15,1,28,10,12280.95
2021-01-10,SKU0155,2,1,12,10,1572.64
2021-01-10,SKU0156,3,0,20,10,6790.32
2021-01-10,SKU0157,0,9,8,10,0.0
2021-01-10,SKU0158,0,0,27,10,0.0
2021-01-10,SKU0159,0,1,14,10,0.0
2021-01-10,SKU0160,0,0,13,10,0.0
2021-01-10,SKU0161,1,0,20,10,523.9
2021-01-10,SKU0162,0,4,17,10,0.0
2021-01-10,SKU0163,5,8,27,10,4999.85
2021-01-10,SKU0164,0,0,18,10,0.0
2021-01-10,SKU0165,14,15,18,10,38791.34
2021-01-10,SKU0166,2,0,7,10,1160.08
2021-01-10,SKU0167,9,0,5,10,8331.21
2021-01-10,SKU0168,3,0,15,10,1636.44
2021-01-10,SKU0169,0,0,30,10,0.0
2021-01-10,SKU0170,0,0,28,10,0.0
2021-01-10,SKU0171,0,0,21,10,0.0
2021-01-10,SKU0172,2,7,21,10,1212.92
2021-01-10,SKU0173,0,0,15,10,0.0
2021-01-10,SKU0174,10,9,9,10,18143.2
2021-01-10,SKU0175,0,6,5,10,0.0
2021-01-10,SKU0176,0,0,13,10,0.0
2021-01-10,SKU0177,0,11,13,10,0.0
2021-01-10,SKU0178,0,0,9,10,0.0
2021-01-10,SKU0179,0,2,11,10,0.0
2021-01-10,SKU0180,0,0,5,10,0.0
2021-01-10,SKU0181,8,0,20,10,1808.64
2021-01-10,SKU0182,8,0,29,10,5010.8
2021-01-10,SKU0183,0,4,22,10,0.0
2021-01-10,SKU0184,0,0,16,10,0.0
2021-01-10,SKU0185,4,0,15,10,7026.28
2021-01-10,SKU0186,3,5,12,10,3921.48
2021-01-10,SKU0187,0,0,8,10,0.0
2021-01-10,SKU0188,0,0,20,10,0.0
2021-01-10,SKU0189,0,0,19,10,0.0
2021-01-10,SKU0190,8,5,5,10,3158.8
2021-01-10,SKU0191,21,7,15,10,52857.63
2021-01-10,SKU0192,0,8,12,10,0.0
2021-01-10,SKU0193,0,0,9,10,0.0
2021-01-10,SKU0194,7,0,23,10,2712.01
2021-01-10,SKU0195,12,0,18,10,30556.44
2021-01-10,SKU0196,12,7,21,10,32612.28
2021-01-10,SKU0197,1,6,23,10,2940.75
2021-01-10,SKU0198,4,6,30,10,9703.52
2021-01-10,SKU0199,1,4,25,10,2360.48
2021-01-10,SKU0200,6,0,21,10,11779.2
2021-01-17,SKU0001,8,0,26,10,21879.04
2021-01-17,SKU0002,0,14,24,10,0.0
2021-01-17,SKU0003,0,2,19,10,0.0
2021-01-17,SKU0004,0,0,28,10,0.0
2021-01-17,SKU0005,0,0,8,10,0.0
2021-01-17,SKU0006,2,4,28,10,4357.96
2021-01-17,SKU0007,9,0,27,10,12628.35
2021-01-17,SKU0008,0,0,18,10,0.0
2021-01-17,SKU0009,7,6,24,10,2656.71
2021-01-17,SKU0010,0,0,18,10,0.0
2021-01-17,SKU0011,0,0,11,10,0.0
2021-01-17,SKU0012,0,0,25,10,0.0
2021-01-17,SKU0013,0,8,11,10,0.0
2021-01-17,SKU0014,4,5,13,10,7118.96
2021-01-17,SKU0015,5,9,18,10,3063.2
2021-01-17,SKU0016,0,0,26,10,0.0
2021-01-17,SKU0017,0,0,14,10,0.0
2021-01-17,SKU0018,8,2,17,10,17491.52
2021-01-17,SKU0019,0,5,6,10,0.0
2021-01-17,SKU0020,0,0,8,10,0.0
2021-01-17,SKU0021,0,0,6,10,0.0
2021-01-17,SKU0022,0,1,6,10,0.0
2021-01-17,SKU0023,0,0,27,10,0.0
2021-01-17,SKU0024,0,4,26,10,0.0
2021-01-17,SKU0025,0,4,26,10,0.0
2021-01-17,SKU0026,6,1,6,10,9195.42
2021-01-17,SKU0027,6,0,7,10,6339.6
2021-01-17,SKU0028,4,7,12,10,2076.48
2021-01-17,SKU0029,0,0,19,10,0.0
2021-01-17,SKU0030,0,2,13,10,0.0
2021-01-17,SKU0031,0,0,17,10,0.0
2021-01-17,SKU0032,0,1,9,10,0.0
2021-01-17,SKU0033,7,8,24,10,12495.56
2021-01-17,SKU0034,0,9,13,10,0.0
2021-01-17,SKU0035,0,12,6,10,0.0
2021-01-17,SKU0036,0,0,24,10,0.0
2021-01-17,SKU0037,14,0,28,10,40317.48
2021-01-17,SKU0038,0,3,5,10,0.0
2021-01-17,SKU0039,0,0,16,10,0.0
2021-01-17,SKU0040,0,0,26,10,0.0
2021-01-17,SKU0041,14,0,23,10,21158.34
2021-01-17,SKU0042,1,0,27,10,1523.05
2021-01-17,SKU0043,2,0,15,10,5639.4
2021-01-17,SKU0044,0,9,14,10,0.0
2021-01-17,SKU0045,0,5,23,10,0.0
2021-01-17,SKU0046,0,0,8,10,0.0
2021-01-17,SKU0047,0,2,11,10,0.0
2021-01-17,SKU0048,3,0,20,10,4829.85
2021-01-17,SKU0049,0,8,22,10,0.0
2021-01-17,SKU0050,8,5,8,10,1301.44
2021-01-17,SKU0051,11,1,18,10,27458.75
2021-01-17,SKU0052,0,0,14,10,0.0
2021-01-17,SKU0053,2,0,18,10,1013.44
2021-01-17,SKU0054,0,0,29,10,0.0
2021-01-17,SKU0055,12,1,6,10,4978.44
2021-01-17,SKU0056,2,0,30,10,4099.0
2021-01-17,SKU0057,8,0,16,10,7324.64
2021-01-17,SKU0058,0,0,25,10,0.0
2021-01-17,SKU0059,3,3,16,10,6624.84
2021-01-17,SKU0060,17,5,13,10,39594.36
2021-01-17,SKU0061,17,0,25,10,7011.65
2021-01-17,SKU0062,0,0,22,10,0.0
2021-01-17,SKU0063,3,0,8,10,2302.86
2021-01-17,SKU0064,2,1,23,10,417.0
2021-01-17,SKU0065,0,11,24,10,0.0
2021-01-17,SKU0066,0,0,15,10,0.0
2021-01-17,SKU0067,1,3,29,10,2506.39
2021-01-17,SKU0068,8,3,21,10,19551.44
2021-01-17,SKU0069,4,0,13,10,4078.8
2021-01-17,SKU0070,0,0,5,10,0.0
2021-01-17,SKU0071,0,0,22,10,0.0
2021-01-17,SKU0072,0,7,10,10,0.0
2021-01-17,SKU0073,12,1,24,10,10107.6
2021-01-17,SKU0074,0,0,18,10,0.0
2021-01-17,SKU0075,0,6,17,10,0.0
2021-01-17,SKU0076,3,6,9,10,690.72
2021-01-17,SKU0077,0,8,23,10,0.0
2021-01-17,SKU0078,0,3,9,10,0.0
2021-01-17,SKU0079,5,8,15,10,13429.3
2021-01-17,SKU0080,0,0,26,10,0.0
2021-01-17,SKU0081,0,0,28,10,0.0
2021-01-17,SKU0082,0,5,30,10,0.0
2021-01-17,SKU0083,1,9,29,10,1604.69
2021-01-17,SKU0084,0,2,19,10,0.0
2021-01-17,SKU0085,0,5,10,10,0.0
2021-01-17,SKU0086,0,0,26,10,0.0
2021-01-17,SKU0087,7,0,25,10,8285.27
2021-01-17,SKU0088,11,2,30,10,4113.45
2021-01-17,SKU0089,10,6,21,10,22656.9
2021-01-17,SKU0090,0,10,8,10,0.0
2021-01-17,SKU0091,0,0,18,10,0.0
2021-01-17,SKU0092,0,0,16,10,0.0
2021-01-17,SKU0093,15,5,26,10,6840.0
2021-01-17,SKU0094,0,9,15,10,0.0
2021-01-17,SKU0095,0,0,13,10,0.0
2021-01-17,SKU0096,0,0,7,10,0.0
2021-01-17,SKU0097,1,1,26,10,1838.21
2021-01-17,SKU0098,0,3,24,10,0.0
2021-01-17,SKU0099,0,2,6,10,0.0
2021-01-17,SKU0100,0,0,16,10,0.0
2021-01-17,SKU0101,0,2,17,10,0.0
2021-01-17,SKU0102,2,4,17,10,5836.6
2021-01-17,SKU0103,6,0,28,10,9312.9
2021-01-17,SKU0104,348,79,8,32,180020.4
2021-01-17,SKU0105,12,1,12,10,1685.04
2021-01-17,SKU0106,8,5,9,10,6128.0
2021-01-17,SKU0107,0,3,11,10,0.0
2021-01-17,SKU0108,4,0,28,10,8260.84
2021-01-17,SKU0109,0,4,29,10,0.0
2021-01-17,SKU0110,6,7,6,10,9410.16
2021-01-17,SKU0111,0,0,21,10,0.0
2021-01-17,SKU0112,0,8,11,10,0.0
2021-01-17,SKU0113,0,7,10,10,0.0
2021-01-17,SKU0114,0,0,12,10,0.0
2021-01-17,SKU0115,0,0,10,10,0.0
2021-01-17,SKU0116,4,9,17,10,8972.2
2021-01-17,SKU0117,9,3,30,10,4320.63
2021-01-17,SKU0118,0,2,20,10,0.0
2021-01-17,SKU0119,6,13,23,10,16739.58
2021-01-17,SKU0120,7,0,17,10,8770.86
2021-01-17,SKU0121,0,0,5,10,0.0
2021-01-17,SKU0122,0,0,7,10,0.0
2021-01-17,SKU0123,0,0,11,10,0.0
2021-01-17,SKU0124,0,3,11,10,0.0
2021-01-17,SKU0125,0,0,26,10,0.0
2021-01-17,SKU0126,9,0,26,10,25037.46
2021-01-17,SKU0127,0,0,27,10,0.0
2021-01-17,SKU0128,0,0,21,10,0.0
2021-01-17,SKU0129,0,0,19,10,0.0
2021-01-17,SKU0130,0,0,21,10,0.0
2021-01-17,SKU0131,0,0,15,10,0.0
2021-01-17,SKU0132,1,1,22,10,1315.43
2021-01-17,SKU0133,2,0,25,10,5804.14
2021-01-17,SKU0134,0,0,24,10,0.0
2021-01-17,SKU0135,3,6,20,10,8417.31
2021-01-17,SKU0136,0,0,6,10,0.0
2021-01-17,SKU0137,0,0,23,10,0.0
2021-01-17,SKU0138,0,2,14,10,0.0
2021-01-17,SKU0139,8,4,24,10,1213.84
2021-01-17,SKU0140,5,8,19,10,2082.6
2021-01-17,SKU0141,1,3,27,10,2505.34
2021-01-17,SKU0142,9,10,13,10,21696.93
2021-01-17,SKU0143,0,0,29,10,0.0
2021-01-17,SKU0144,1,0,26,10,1639.23
2021-01-17,SKU0145,4,0,13,10,7429.8
2021-01-17,SKU0146,0,0,17,10,0.0
