sku,forecast_demand,actual_demand,on_hand_units,stock_gap_units,stockout_risk,overstock_risk,recommended_action,priority_score
SKU0045,1930.1173974744092,1813,300,1630.1173974744092,True,False,REORDER,1630.1173974744092
SKU0017,1927.5903875655902,1867,303,1624.5903875655902,True,False,REORDER,1624.5903875655902
SKU0131,1830.288634136638,1717,256,1574.288634136638,True,False,REORDER,1574.288634136638
SKU0135,1784.4788081545964,1655,285,1499.4788081545964,True,False,REORDER,1499.4788081545964
SKU0030,1809.352674311687,1769,320,1489.352674311687,True,False,REORDER,1489.352674311687
SKU0070,1613.3714891615946,1542,241,1372.3714891615946,True,False,REORDER,1372.3714891615946
SKU0098,1637.679183736678,1546,284,1353.679183736678,True,False,REORDER,1353.679183736678
SKU0069,1417.7355713770407,1350,704,713.7355713770407,True,False,REORDER,713.7355713770407
SKU0189,1734.2507855934446,1666,1059,675.2507855934446,True,False,REORDER,675.2507855934446
SKU0029,1667.1238875051206,1613,1050,617.1238875051206,True,False,REORDER,617.1238875051206
SKU0025,1449.3003020786957,1350,864,585.3003020786957,True,False,REORDER,585.3003020786957
SKU0177,1506.0653456394898,1448,928,578.0653456394898,True,False,REORDER,578.0653456394898
SKU0044,1475.354971756085,1398,915,560.354971756085,True,False,REORDER,560.354971756085
SKU0129,1546.0018641982508,1480,998,548.0018641982508,True,False,REORDER,548.0018641982508
SKU0026,1362.8413954549344,1310,818,544.8413954549344,True,False,REORDER,544.8413954549344
SKU0087,1365.1260069535997,1320,838,527.1260069535997,True,False,REORDER,527.1260069535997
SKU0052,1317.626804347638,1238,805,512.626804347638,True,False,REORDER,512.626804347638
SKU0077,1650.823968527806,1610,1154,496.8239685278061,True,False,REORDER,496.8239685278061
SKU0011,1127.4355457497968,1043,641,486.4355457497968,True,False,REORDER,486.4355457497968
SKU0108,1226.9903783513685,1158,755,471.99037835136846,True,False,REORDER,471.99037835136846
SKU0046,1204.096045034684,1121,740,464.09604503468404,True,False,REORDER,464.09604503468404
SKU0104,1204.5600739874649,1175,756,448.5600739874649,True,False,REORDER,448.5600739874649
SKU0116,1307.4498474859195,1223,868,439.44984748591946,True,False,REORDER,439.44984748591946
SKU0081,1246.67794761071,1150,808,438.6779476107099,True,False,REORDER,438.6779476107099
SKU0038,1256.8989441566857,1200,832,424.89894415668573,True,False,REORDER,424.89894415668573
SKU0076,966.3728083756108,903,596,370.3728083756108,True,False,REORDER,370.3728083756108
SKU0102,1118.1167892606934,1037,777,341.1167892606934,True,False,REORDER,341.1167892606934
SKU0110,817.9173454497463,775,480,337.91734544974634,True,False,REORDER,337.91734544974634
SKU0088,1040.5369675142128,995,724,316.53696751421285,True,False,REORDER,316.53696751421285
SKU0196,814.5419847271778,778,499,315.5419847271778,True,False,REORDER,315.5419847271778
SKU0192,706.0252437740506,677,400,306.02524377405064,True,False,REORDER,306.02524377405064
SKU0005,984.9108075249263,954,708,276.9108075249263,True,False,REORDER,276.9108075249263
SKU0154,963.0914316520639,923,687,276.0914316520639,True,False,REORDER,276.0914316520639
SKU0012,687.796258060825,655,432,255.79625806082504,True,False,REORDER,255.79625806082504
SKU0195,602.7076205411364,537,354,248.7076205411364,True,False,REORDER,248.7076205411364
SKU0166,768.007097226214,713,520,248.007097226214,True,False,REORDER,248.007097226214
SKU0157,616.4782981991524,600,400,216.4782981991524,True,False,REORDER,216.4782981991524
SKU0014,605.0431004376314,580,393,212.04310043763144,True,False,REORDER,212.04310043763144
SKU0184,487.8972608133501,449,285,202.8972608133501,True,False,REORDER,202.8972608133501
SKU0198,598.0616236769658,555,413,185.06162367696584,True,False,REORDER,185.06162367696584
SKU0176,634.5892914566201,631,468,166.58929145662012,True,False,REORDER,166.58929145662012
SKU0174,421.10807017921695,403,257,164.10807017921695,True,False,REORDER,164.10807017921695
SKU0086,397.94396211346236,360,235,162.94396211346236,True,False,REORDER,162.94396211346236
SKU0051,351.3260236852492,323,191,160.3260236852492,True,False,REORDER,160.3260236852492
SKU0041,457.345779244813,424,329,128.345779244813,True,False,REORDER,128.345779244813
SKU0061,479.79810969224116,467,359,120.79810969224116,True,False,REORDER,120.79810969224116
SKU0068,275.9845925410765,256,186,89.9845925410765,True,False,REORDER,89.9845925410765
SKU0103,10.31699304660466,11,46,-35.68300695339534,False,True,MARKDOWN / CLEAR,35.68300695339534
SKU0034,17.219982366076298,17,47,-29.780017633923702,False,True,MARKDOWN / CLEAR,29.780017633923702
SKU0054,13.512905124221046,19,40,-26.487094875778954,False,True,MARKDOWN / CLEAR,26.487094875778954
SKU0049,17.82647013152723,15,35,-17.17352986847277,False,True,MARKDOWN / CLEAR,17.17352986847277
SKU0194,11.708866714864572,9,28,-16.29113328513543,False,True,MARKDOWN / CLEAR,16.29113328513543
SKU0152,12.072255835918373,16,27,-14.927744164081627,False,True,MARKDOWN / CLEAR,14.927744164081627
SKU0179,10.711329049404386,5,0,10.711329049404386,True,False,REORDER,10.711329049404386
SKU0188,11.62652980283801,12,2,9.62652980283801,True,False,REORDER,9.62652980283801
SKU0059,9.658473120225407,7,18,-8.341526879774593,False,True,MARKDOWN / CLEAR,8.341526879774593
SKU0063,11.120995491236341,8,3,8.120995491236341,True,False,REORDER,8.120995491236341
SKU0091,14.287945626232514,16,22,-7.7120543737674865,False,True,MARKDOWN / CLEAR,7.7120543737674865
SKU0043,8.805401929787251,8,14,-5.1945980702127486,False,True,MARKDOWN / CLEAR,5.1945980702127486
SKU0191,13.454768411079634,2,9,4.454768411079634,True,False,REORDER,4.454768411079634
SKU0106,12.024342044471094,9,8,4.024342044471094,True,False,REORDER,4.024342044471094
SKU0164,10.45031961698732,9,7,3.4503196169873203,True,False,REORDER,3.4503196169873203
SKU0075,11.389769265061702,13,8,3.3897692650617017,True,False,REORDER,3.3897692650617017
SKU0080,6.716562961518561,2,6,0.7165629615185614,True,False,REORDER,0.7165629615185614
SKU0107,10.479182887511074,11,10,0.4791828875110742,True,False,REORDER,0.4791828875110742
SKU0036,9.459563811444227,6,9,0.45956381144422664,True,False,REORDER,0.45956381144422664
SKU0085,10.000306712561127,7,11,-0.9996932874388733,False,False,LEAVE ALONE,0.0
